608	826	0.002
5	376	0.002
515	1313	0.002
156	144	0.002
74	246	0.002
160	621	0.002
1253	372	0.002
1015	227	0.002
1004	1004	0.002
1296	852	0.002
937	1015	0.002
1015	937	0.002
758	1056	0.002
758	753	0.002
1210	1252	0.002
310	1299	0.002
937	1031	0.002
650	621	0.002
144	852	0.002
981	156	0.002
1031	1289	0.002
1056	15	0.002
826	916	0.002
304	304	0.002
160	1056	0.002
1245	1223	0.002
32	470	0.002
1253	937	0.002
849	849	0.002
333	937	0.002
1031	937	0.002
1056	1203	0.002
153	916	0.002
916	246	0.002
1292	852	0.002
1056	275	0.002
1260	621	0.002
281	608	0.002
758	227	0.002
1278	1252	0.002
916	144	0.002
1292	1190	0.002
266	266	0.002
852	608	0.002
1296	227	0.002
246	608	0.002
937	776	0.002
227	753	0.002
608	1313	0.002
1252	916	0.002
916	160	0.002
916	374	0.002
919	1056	0.002
1031	310	0.002
883	1299	0.002
608	852	0.002
608	376	0.002
408	408	0.002
512	1031	0.002
1056	904	0.002
772	515	0.002
227	281	0.002
686	686	0.002
621	826	0.002
424	916	0.002
1292	1015	0.002
795	795	0.002
1056	832	0.002
1056	1223	0.002
772	621	0.002
937	160	0.002
227	1257	0.002
227	832	0.002
515	1031	0.002
515	156	0.002
1253	916	0.002
1056	1299	0.002
1056	780	0.002
937	376	0.002
333	1056	0.002
1172	1172	0.002
607	156	0.002
275	1190	0.002
753	608	0.002
916	1260	0.002
1292	608	0.002
582	481	0.002
1056	1289	0.002
621	65	0.002
916	826	0.002
372	1253	0.002
77	376	0.002
200	200	0.002
1260	515	0.002
1257	227	0.002
246	1253	0.002
556	246	0.002
333	246	0.002
156	608	0.002
426	426	0.002
1252	621	0.002
721	916	0.001
1292	753	0.001
1245	1252	0.001
1031	582	0.001
614	621	0.001
621	276	0.001
144	1015	0.001
607	144	0.001
5	515	0.001
156	376	0.001
566	916	0.001
1253	608	0.001
1056	160	0.001
1056	1176	0.001
381	515	0.001
780	515	0.001
1313	1253	0.001
1313	608	0.001
556	937	0.001
608	1031	0.001
1172	608	0.001
74	621	0.001
584	584	0.001
916	65	0.001
1289	1313	0.001
306	306	0.001
1056	459	0.001
1056	1252	0.001
937	515	0.001
955	916	0.001
1240	1056	0.001
1031	608	0.001
1277	1277	0.001
849	1056	0.001
403	1056	0.001
614	614	0.001
144	1176	0.001
1101	74	0.001
318	1101	0.001
870	1252	0.001
916	333	0.001
916	184	0.001
875	1299	0.001
77	753	0.001
854	854	0.001
1253	1313	0.001
1260	852	0.001
1015	1190	0.001
621	160	0.001
995	995	0.001
585	1252	0.001
1245	15	0.001
1031	376	0.001
883	227	0.001
1288	1260	0.001
937	1252	0.001
333	515	0.001
1176	376	0.001
5	77	0.001
5	607	0.001
515	937	0.001
826	852	0.001
1252	1313	0.001
916	459	0.001
582	1289	0.001
276	937	0.001
227	77	0.001
1015	1253	0.001
1182	916	0.001
246	1056	0.001
144	981	0.001
376	1176	0.001
515	246	0.001
981	515	0.001
916	5	0.001
624	1031	0.001
904	1031	0.001
470	32	0.001
1056	773	0.001
1257	608	0.001
376	246	0.001
607	1190	0.001
5	1056	0.001
156	74	0.001
74	376	0.001
753	1031	0.001
916	1296	0.001
1031	795	0.001
566	566	0.001
1293	1293	0.001
276	608	0.001
1056	333	0.001
518	916	0.001
608	144	0.001
333	607	0.001
333	74	0.001
376	77	0.001
376	937	0.001
5	621	0.001
515	826	0.001
74	1313	0.001
758	758	0.001
1223	1190	0.001
1252	608	0.001
1245	607	0.001
77	246	0.001
63	63	0.001
1299	1056	0.001
1056	955	0.001
281	621	0.001
1015	515	0.001
246	376	0.001
144	1253	0.001
798	246	0.001
1252	937	0.001
408	916	0.001
64	1299	0.001
692	692	0.001
1277	906	0.001
276	1015	0.001
1056	381	0.001
454	650	0.001
621	1190	0.001
621	556	0.001
376	1031	0.001
74	1056	0.001
753	227	0.001
916	758	0.001
1292	1257	0.001
1245	1260	0.001
1031	64	0.001
1031	753	0.001
1289	1100	0.001
875	916	0.001
692	306	0.001
852	1190	0.001
1056	5	0.001
862	832	0.001
1015	376	0.001
650	376	0.001
246	1031	0.001
826	608	0.001
156	916	0.001
244	666	0.001
211	211	0.001
1190	621	0.001
1292	1031	0.001
1031	1253	0.001
372	621	0.001
1203	621	0.001
937	1253	0.001
454	621	0.001
246	144	0.001
144	753	0.001
607	753	0.001
1292	376	0.001
